,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
1273,10.0,Yes,1.0,0.0,Yes,3.0,1.0,Introvert
1276,7.0,Yes,2.0,2.0,Yes,0.0,1.0,Introvert
1279,8.0,Yes,1.0,2.0,Yes,4.0,0.0,Introvert
1281,9.0,Yes,3.0,2.0,Yes,4.0,0.0,Extrovert
1282,10.0,Yes,3.0,2.0,Yes,2.0,0.0,Introvert
1286,7.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
1287,7.0,Yes,3.963354474982382,1.0,Yes,0.0,2.0,Introvert
1288,8.0,Yes,3.0,1.0,Yes,2.0,2.0,Introvert
1292,8.0,Yes,2.0,2.0,Yes,4.0,0.0,Introvert
1294,10.0,Yes,3.0,1.0,Yes,5.0,0.0,Introvert
1295,10.0,Yes,2.0,0.0,Yes,5.0,1.0,Introvert
1301,9.0,Yes,0.0,0.0,Yes,2.0,0.0,Introvert
1304,11.0,Yes,3.0,2.0,Yes,3.0,2.0,Introvert
1308,7.0,Yes,2.0,0.0,Yes,2.0,0.0,Introvert
1312,10.0,Yes,0.0,2.0,Yes,3.0,1.0,Introvert
1315,7.0,Yes,3.0,1.0,Yes,2.0,1.0,Introvert
1329,11.0,Yes,2.0,2.0,Yes,4.0,2.0,Introvert
1330,7.0,Yes,1.0,2.0,Yes,2.0,0.0,Introvert
1332,9.0,Yes,3.0,2.0,Yes,1.0,2.0,Introvert
1334,11.0,Yes,2.0,2.0,Yes,5.0,1.0,Introvert
1339,10.0,Yes,0.0,2.0,Yes,4.0,0.0,Introvert
1341,8.0,Yes,0.0,1.0,Yes,5.0,0.0,Introvert
1344,11.0,Yes,2.0,1.0,Yes,3.0,1.0,Extrovert
1347,11.0,Yes,2.0,2.0,Yes,5.0,0.0,Introvert
1356,7.0,Yes,0.0,0.0,Yes,1.0,2.0,Introvert
1357,11.0,Yes,2.0,2.0,Yes,5.0,0.0,Introvert
1358,10.0,Yes,2.0,1.0,Yes,4.0,1.0,Introvert
1365,11.0,Yes,1.0,1.0,Yes,0.0,1.0,Introvert
1370,7.0,Yes,3.0,2.0,Yes,2.0,1.0,Introvert
1376,8.0,Yes,2.0,0.0,Yes,2.0,0.0,Extrovert
1378,9.0,Yes,0.0,1.0,Yes,2.0,0.0,Introvert
1379,9.0,Yes,1.0,0.0,Yes,2.0,1.0,Introvert
1380,8.0,Yes,2.0,1.0,Yes,5.0,2.0,Introvert
1382,10.0,Yes,2.0,2.0,Yes,5.0,2.0,Extrovert
1390,9.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
1391,10.0,Yes,2.0,0.0,Yes,5.0,2.0,Introvert
1393,10.0,Yes,1.0,1.0,Yes,4.0,1.0,Introvert
1395,11.0,Yes,3.0,1.0,Yes,0.0,2.0,Introvert
1396,7.0,Yes,2.0,1.0,Yes,4.0,0.0,Introvert
1400,11.0,Yes,1.0,1.0,Yes,4.0,0.0,Introvert
1407,11.0,Yes,0.0,1.0,Yes,1.0,2.0,Extrovert
1410,7.0,Yes,1.0,1.0,Yes,2.0,0.0,Introvert
1413,10.0,Yes,2.0,2.0,Yes,1.0,1.0,Introvert
1414,8.0,Yes,1.0,1.0,Yes,1.0,0.0,Introvert
1416,9.0,Yes,3.963354474982382,0.0,Yes,4.0,0.0,Introvert
1422,10.0,Yes,0.0,2.0,Yes,4.0,1.0,Introvert
1424,11.0,Yes,3.963354474982382,2.0,Yes,3.0,2.0,Introvert
1426,8.0,Yes,0.0,0.0,Yes,1.0,1.0,Introvert
1431,11.0,Yes,2.0,0.0,Yes,4.0,0.0,Introvert
1433,8.0,Yes,0.0,0.0,Yes,1.0,2.0,Extrovert
1435,7.0,Yes,2.0,1.0,Yes,1.0,0.0,Extrovert
1436,11.0,Yes,1.0,2.0,Yes,4.0,0.0,Introvert
1440,7.0,Yes,1.0,0.0,Yes,5.0,0.0,Introvert
1442,9.0,Yes,0.0,2.0,Yes,4.0,0.0,Introvert
1444,11.0,Yes,1.0,3.0,Yes,4.0,2.0,Introvert
1449,8.0,Yes,1.0,0.0,Yes,2.0,0.0,Introvert
1456,9.0,Yes,3.963354474982382,0.0,Yes,3.0,1.0,Introvert
1457,11.0,Yes,1.0,1.0,Yes,3.0,2.0,Introvert
1458,7.0,No,1.0,0.0,Yes,5.0,2.0,Introvert
1460,9.0,Yes,3.0,1.0,Yes,2.0,0.0,Introvert
1463,8.0,Yes,3.0,2.0,Yes,3.0,0.0,Introvert
1464,9.0,Yes,0.0,3.0,Yes,5.0,1.0,Introvert
1466,10.0,Yes,3.0,3.0,Yes,4.0,0.0,Introvert
1468,7.0,Yes,2.0,1.0,Yes,5.0,2.0,Introvert
1472,8.0,Yes,2.0,2.0,Yes,1.0,2.0,Introvert
1477,7.0,Yes,0.0,1.0,Yes,2.0,2.0,Introvert
1479,10.0,Yes,2.0,1.0,Yes,5.0,0.0,Introvert
1482,10.0,Yes,0.0,1.0,Yes,2.0,2.0,Introvert
1483,8.0,Yes,0.0,0.0,Yes,5.0,3.564726631393298,Introvert
1485,8.0,Yes,3.963354474982382,0.0,Yes,3.0,0.0,Introvert
1490,8.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
1498,10.0,Yes,2.0,0.0,Yes,5.0,2.0,Introvert
1499,11.0,Yes,2.0,0.0,Yes,6.268862911795962,0.0,Introvert
1500,11.0,Yes,1.0,2.0,No,4.0,2.0,Introvert
1508,9.0,Yes,2.0,1.0,Yes,2.0,0.0,Introvert
1509,7.0,Yes,3.0,2.0,Yes,2.0,1.0,Introvert
1510,8.0,Yes,0.0,2.0,Yes,4.0,1.0,Introvert
1522,8.0,Yes,0.0,2.0,No,4.0,2.0,Introvert
1524,11.0,Yes,3.0,0.0,Yes,3.0,0.0,Introvert
1525,8.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
1526,9.0,Yes,0.0,0.0,Yes,2.0,1.0,Extrovert
1528,7.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
1529,7.0,Yes,1.0,1.0,Yes,2.0,1.0,Extrovert
1533,9.0,Yes,1.0,0.0,Yes,2.0,0.0,Introvert
1535,10.0,Yes,1.0,2.0,Yes,5.0,1.0,Introvert
1538,9.0,Yes,0.0,1.0,Yes,5.0,1.0,Introvert
1541,8.0,Yes,1.0,2.0,Yes,5.0,1.0,Introvert
1543,11.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
1544,10.0,Yes,3.0,2.0,Yes,1.0,2.0,Introvert
1545,9.0,Yes,2.0,1.0,Yes,5.0,1.0,Introvert
1548,10.0,Yes,0.0,1.0,Yes,4.0,0.0,Introvert
1551,9.0,Yes,3.0,2.0,Yes,3.0,2.0,Introvert
1555,8.0,Yes,2.0,0.0,Yes,5.0,1.0,Introvert
1558,8.0,Yes,0.0,0.0,Yes,4.0,0.0,Introvert
1560,9.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
1561,8.0,Yes,1.0,2.0,Yes,1.0,0.0,Extrovert
1564,11.0,Yes,3.0,1.0,Yes,4.0,2.0,Introvert
1566,11.0,Yes,3.0,1.0,Yes,2.0,0.0,Introvert
1567,8.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
1568,7.0,Yes,1.0,1.0,Yes,3.0,0.0,Introvert
1571,7.0,Yes,3.0,2.0,Yes,5.0,1.0,Introvert
1577,7.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
1579,8.0,Yes,1.0,1.0,Yes,3.0,0.0,Introvert
1580,10.0,Yes,3.963354474982382,0.0,Yes,1.0,1.0,Introvert
1584,11.0,Yes,3.0,2.0,Yes,5.0,2.0,Introvert
1589,7.0,Yes,1.0,2.0,Yes,5.0,2.0,Introvert
1590,9.0,Yes,3.0,1.0,Yes,3.0,0.0,Introvert
1596,11.0,Yes,0.0,2.0,Yes,3.0,0.0,Extrovert
1599,9.0,Yes,1.0,0.0,Yes,2.0,0.0,Extrovert
1601,11.0,Yes,2.0,0.0,Yes,3.0,2.0,Introvert
1605,11.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
1606,8.0,Yes,2.0,0.0,Yes,5.0,1.0,Introvert
1608,10.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
1615,9.0,Yes,2.0,1.0,Yes,2.0,0.0,Introvert
1616,7.0,Yes,3.0,1.0,Yes,1.0,0.0,Introvert
1619,10.0,Yes,0.0,0.0,Yes,2.0,1.0,Extrovert
1623,11.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
1636,10.0,Yes,1.0,2.0,Yes,1.0,2.0,Introvert
1637,7.0,Yes,2.0,0.0,Yes,4.0,2.0,Introvert
1639,8.0,No,0.0,0.0,Yes,1.0,0.0,Introvert
1640,8.0,Yes,0.0,0.0,Yes,2.0,1.0,Extrovert
1644,10.0,Yes,2.0,0.0,Yes,1.0,1.0,Introvert
1646,10.0,Yes,0.0,0.0,Yes,4.0,0.0,Introvert
1649,7.0,Yes,2.0,1.0,Yes,1.0,2.0,Extrovert
1650,10.0,Yes,2.0,1.0,Yes,4.0,1.0,Introvert
1651,10.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
1654,7.0,Yes,2.0,2.0,Yes,4.0,1.0,Introvert
1655,7.0,Yes,2.0,0.0,Yes,2.0,1.0,Extrovert
1661,10.0,Yes,0.0,1.0,Yes,3.0,2.0,Extrovert
1662,8.0,Yes,0.0,1.0,Yes,1.0,1.0,Introvert
1669,8.0,Yes,3.0,2.0,Yes,3.0,2.0,Introvert
1682,9.0,Yes,0.0,0.0,Yes,4.0,2.0,Introvert
1683,7.0,Yes,1.0,3.0,No,5.0,1.0,Introvert
1688,10.0,Yes,0.0,2.0,Yes,6.268862911795962,1.0,Introvert
1690,7.0,Yes,2.0,0.0,Yes,1.0,0.0,Introvert
1691,9.0,Yes,1.0,1.0,Yes,4.0,1.0,Introvert
1693,10.0,Yes,3.0,2.0,Yes,2.0,2.0,Introvert
1704,10.0,Yes,0.0,2.0,Yes,4.0,1.0,Extrovert
1707,8.0,Yes,2.0,2.0,Yes,6.268862911795962,1.0,Introvert
1709,9.0,Yes,3.0,0.0,Yes,5.0,1.0,Introvert
1710,7.0,Yes,0.0,0.0,Yes,1.0,0.0,Introvert
1711,8.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
1712,10.0,Yes,2.0,2.0,Yes,2.0,1.0,Introvert
1716,10.0,Yes,3.0,0.0,Yes,3.0,0.0,Introvert
1718,8.0,Yes,0.0,2.0,Yes,4.0,1.0,Introvert
1719,11.0,Yes,1.0,0.0,Yes,2.0,2.0,Introvert
1721,11.0,Yes,0.0,0.0,Yes,2.0,2.0,Extrovert
1723,9.0,Yes,3.963354474982382,2.0,Yes,4.0,1.0,Introvert
1728,10.0,Yes,2.0,1.0,Yes,4.0,1.0,Introvert
1730,11.0,Yes,0.0,2.0,Yes,2.0,0.0,Introvert
1732,7.0,Yes,2.0,2.0,Yes,4.0,2.0,Introvert
1733,8.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
1735,10.0,Yes,1.0,2.0,Yes,3.0,0.0,Introvert
1739,8.0,Yes,3.0,1.0,Yes,1.0,2.0,Introvert
1742,9.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
1743,8.0,Yes,0.0,2.0,No,5.0,0.0,Introvert
1744,11.0,Yes,3.0,0.0,Yes,4.0,0.0,Introvert
1748,9.0,Yes,3.0,0.0,Yes,5.0,1.0,Introvert
1753,10.0,Yes,3.0,1.0,Yes,3.0,2.0,Introvert
1754,9.0,Yes,3.0,1.0,Yes,3.0,1.0,Introvert
1757,8.0,Yes,2.0,2.0,Yes,2.0,2.0,Extrovert
1759,10.0,Yes,0.0,0.0,Yes,1.0,2.0,Extrovert
1760,7.0,Yes,3.0,1.0,Yes,2.0,1.0,Introvert
1762,10.0,Yes,3.0,0.0,Yes,6.268862911795962,2.0,Introvert
1765,10.0,Yes,2.0,0.0,Yes,4.0,0.0,Introvert
1769,8.0,Yes,3.0,0.0,Yes,5.0,2.0,Introvert
1774,8.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
1778,10.0,Yes,2.0,1.0,Yes,3.0,1.0,Extrovert
1779,7.0,Yes,0.0,1.0,Yes,1.0,0.0,Introvert
1780,9.0,Yes,3.0,2.0,Yes,4.0,0.0,Introvert
1786,10.0,Yes,0.0,0.0,Yes,2.0,0.0,Introvert
1787,11.0,Yes,3.0,2.0,Yes,4.0,1.0,Introvert
1790,11.0,Yes,1.0,2.0,Yes,2.0,2.0,Extrovert
1792,7.0,Yes,2.0,0.0,Yes,2.0,1.0,Introvert
1794,9.0,Yes,0.0,1.0,Yes,2.0,3.564726631393298,Introvert
1804,7.0,Yes,0.0,2.0,Yes,4.0,2.0,Introvert
1805,10.0,Yes,2.0,2.0,Yes,2.0,1.0,Extrovert
1806,10.0,Yes,0.0,0.0,No,3.0,2.0,Introvert
1807,8.0,Yes,0.0,0.0,Yes,2.0,1.0,Introvert
1810,8.0,Yes,3.0,1.0,Yes,3.0,2.0,Introvert
1815,10.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
1817,10.0,Yes,2.0,0.0,Yes,2.0,1.0,Introvert
1822,8.0,Yes,1.0,1.0,Yes,2.0,1.0,Introvert
1824,9.0,Yes,0.0,0.0,Yes,3.0,0.0,Introvert
1826,10.0,Yes,3.0,1.0,Yes,1.0,2.0,Introvert
1829,10.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
1830,9.0,Yes,3.0,2.0,Yes,5.0,2.0,Introvert
1834,9.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
1842,11.0,Yes,2.0,2.0,Yes,2.0,2.0,Introvert
1854,8.0,Yes,2.0,1.0,Yes,6.268862911795962,2.0,Introvert
1857,7.0,Yes,2.0,1.0,Yes,4.0,2.0,Introvert
1865,10.0,Yes,0.0,0.0,Yes,5.0,3.564726631393298,Introvert
1868,10.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
1870,7.0,Yes,1.0,2.0,Yes,4.0,2.0,Introvert
1876,11.0,Yes,0.0,2.0,Yes,2.0,1.0,Introvert
1883,7.0,Yes,1.0,1.0,Yes,3.0,0.0,Extrovert
1884,9.0,Yes,0.0,1.0,Yes,4.0,0.0,Extrovert
1885,7.0,Yes,2.0,2.0,Yes,3.0,1.0,Extrovert
1887,8.0,Yes,2.0,0.0,Yes,1.0,2.0,Introvert
1889,11.0,Yes,0.0,2.0,Yes,3.0,1.0,Extrovert
1890,11.0,Yes,1.0,1.0,Yes,1.0,1.0,Introvert
1894,8.0,Yes,2.0,1.0,Yes,5.0,1.0,Introvert
1911,9.0,Yes,1.0,0.0,Yes,4.0,1.0,Introvert
1914,10.0,Yes,2.0,2.0,Yes,2.0,1.0,Introvert
1917,8.0,Yes,2.0,0.0,Yes,1.0,1.0,Extrovert
1921,10.0,Yes,2.0,1.0,Yes,1.0,0.0,Introvert
1923,10.0,Yes,0.0,2.0,Yes,4.0,1.0,Extrovert
1925,10.0,Yes,2.0,1.0,Yes,3.0,0.0,Introvert
1938,10.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
1939,9.0,Yes,0.0,2.0,Yes,2.0,2.0,Introvert
1940,8.0,Yes,0.0,0.0,Yes,4.0,0.0,Extrovert
1945,9.0,Yes,3.0,3.0,Yes,2.0,0.0,Introvert
1951,7.0,Yes,2.0,0.0,Yes,3.0,2.0,Extrovert
1955,7.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
1956,9.0,Yes,1.0,0.0,Yes,1.0,1.0,Introvert
1957,9.0,Yes,0.0,0.0,Yes,5.0,0.0,Introvert
1961,7.0,Yes,3.0,2.0,Yes,2.0,2.0,Introvert
1963,8.0,Yes,2.0,1.0,Yes,5.0,1.0,Introvert
1967,10.0,Yes,1.0,0.0,Yes,5.0,1.0,Introvert
1969,9.0,Yes,0.0,2.0,Yes,1.0,0.0,Introvert
1975,7.0,Yes,2.0,2.0,Yes,4.0,1.0,Extrovert
1979,8.0,Yes,0.0,2.0,Yes,1.0,1.0,Introvert
1983,8.0,Yes,3.0,2.0,Yes,5.0,0.0,Introvert
1987,10.0,Yes,0.0,0.0,Yes,1.0,1.0,Introvert
1990,11.0,Yes,1.0,0.0,Yes,4.0,0.0,Introvert
1992,11.0,Yes,0.0,2.0,Yes,4.0,2.0,Introvert
1993,9.0,Yes,0.0,2.0,Yes,5.0,2.0,Introvert
1997,9.0,Yes,3.0,2.0,Yes,6.268862911795962,2.0,Introvert
1998,7.0,Yes,3.963354474982382,0.0,Yes,1.0,0.0,Introvert
2000,10.0,Yes,3.0,0.0,Yes,3.0,1.0,Introvert
2001,8.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
2002,9.0,Yes,3.0,2.0,Yes,4.0,2.0,Introvert
2003,7.0,Yes,3.0,2.0,Yes,6.268862911795962,2.0,Introvert
2005,9.0,Yes,3.0,0.0,Yes,1.0,2.0,Introvert
2006,7.0,Yes,1.0,0.0,Yes,1.0,0.0,Introvert
2008,7.0,Yes,0.0,0.0,Yes,1.0,2.0,Extrovert
2015,10.0,Yes,0.0,0.0,Yes,3.0,0.0,Extrovert
2016,9.0,Yes,3.0,3.0,Yes,4.0,2.0,Introvert
2019,8.0,Yes,2.0,1.0,Yes,1.0,1.0,Extrovert
2020,9.0,Yes,0.0,2.0,Yes,3.0,1.0,Introvert
2022,8.0,Yes,3.0,0.0,Yes,6.268862911795962,1.0,Introvert
2025,10.0,Yes,1.0,1.0,Yes,5.0,0.0,Introvert
2026,7.0,Yes,3.0,0.0,Yes,5.0,2.0,Introvert
2028,10.0,Yes,0.0,1.0,Yes,2.0,1.0,Introvert
2035,10.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
2039,11.0,Yes,3.0,2.0,Yes,3.0,1.0,Introvert
2042,8.0,Yes,2.0,2.0,Yes,3.0,1.0,Introvert
2046,11.0,Yes,2.0,2.0,Yes,1.0,2.0,Extrovert
2050,11.0,Yes,2.0,2.0,Yes,5.0,0.0,Introvert
2054,9.0,Yes,1.0,1.0,Yes,1.0,0.0,Introvert
2055,9.0,Yes,1.0,1.0,Yes,4.0,1.0,Introvert
2056,11.0,No,0.0,2.0,Yes,3.0,2.0,Introvert
2057,10.0,Yes,3.0,1.0,Yes,4.0,1.0,Introvert
2063,9.0,Yes,0.0,3.0,Yes,3.0,2.0,Introvert
2064,11.0,Yes,0.0,2.0,Yes,3.0,0.0,Introvert
2065,10.0,Yes,3.0,2.0,Yes,1.0,2.0,Introvert
2067,10.0,Yes,3.963354474982382,2.0,No,1.0,2.0,Introvert
2068,10.0,Yes,0.0,1.0,Yes,4.0,2.0,Introvert
2069,8.0,Yes,2.0,0.0,Yes,1.0,1.0,Introvert
2070,9.0,Yes,0.0,2.0,Yes,3.0,1.0,Introvert
2072,7.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
2073,9.0,Yes,1.0,1.0,Yes,1.0,2.0,Extrovert
2077,8.0,Yes,3.0,0.0,Yes,2.0,1.0,Introvert
2082,10.0,Yes,0.0,0.0,Yes,2.0,0.0,Introvert
2085,11.0,Yes,2.0,2.0,Yes,4.0,0.0,Extrovert
2089,7.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
2093,8.0,Yes,0.0,1.0,Yes,4.0,2.0,Introvert
2098,11.0,Yes,1.0,0.0,Yes,3.0,1.0,Introvert
2101,7.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
2102,9.0,Yes,0.0,1.0,Yes,4.0,2.0,Introvert
2103,10.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
2110,8.0,Yes,1.0,2.0,Yes,3.0,0.0,Extrovert
2113,9.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
2114,7.0,Yes,2.0,0.0,Yes,4.0,1.0,Introvert
2121,9.0,Yes,2.0,2.0,Yes,3.0,2.0,Introvert
2123,7.0,Yes,2.0,1.0,Yes,3.0,0.0,Extrovert
2125,9.0,Yes,2.0,0.0,Yes,2.0,1.0,Extrovert
2127,11.0,Yes,0.0,1.0,Yes,1.0,1.0,Extrovert
2128,9.0,Yes,2.0,1.0,Yes,4.0,1.0,Introvert
2129,9.0,Yes,2.0,0.0,Yes,3.0,1.0,Introvert
2132,10.0,Yes,1.0,0.0,Yes,4.0,1.0,Extrovert
2134,7.0,Yes,0.0,1.0,Yes,2.0,0.0,Introvert
2136,7.0,Yes,1.0,2.0,Yes,1.0,2.0,Introvert
2138,9.0,Yes,0.0,0.0,Yes,2.0,2.0,Introvert
2141,11.0,Yes,0.0,2.0,Yes,2.0,2.0,Introvert
2146,9.0,Yes,2.0,1.0,Yes,5.0,0.0,Introvert
2149,8.0,Yes,0.0,2.0,Yes,2.0,0.0,Extrovert
2150,9.0,Yes,0.0,0.0,Yes,1.0,1.0,Introvert
2153,7.0,Yes,2.0,1.0,Yes,6.268862911795962,1.0,Introvert
2161,9.0,Yes,3.0,1.0,Yes,1.0,2.0,Introvert
2162,10.0,Yes,1.0,3.0,Yes,2.0,2.0,Introvert
2164,9.0,Yes,3.0,0.0,Yes,1.0,0.0,Introvert
2168,9.0,Yes,1.0,0.0,No,1.0,1.0,Introvert
2170,9.0,Yes,1.0,2.0,Yes,5.0,2.0,Introvert
2173,8.0,Yes,1.0,1.0,Yes,1.0,2.0,Introvert
2175,7.0,Yes,1.0,1.0,Yes,3.0,1.0,Introvert
2183,8.0,No,3.0,2.0,Yes,4.0,2.0,Introvert
2184,11.0,Yes,3.0,1.0,Yes,4.0,0.0,Introvert
2185,10.0,Yes,2.0,2.0,Yes,1.0,2.0,Extrovert
2188,11.0,Yes,2.0,2.0,Yes,2.0,0.0,Introvert
2194,10.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
2201,11.0,Yes,2.0,2.0,Yes,5.0,2.0,Introvert
2209,9.0,Yes,2.0,1.0,Yes,2.0,2.0,Introvert
2218,10.0,Yes,2.0,2.0,Yes,4.0,0.0,Introvert
2219,9.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
2222,7.0,Yes,0.0,1.0,Yes,2.0,2.0,Introvert
2223,8.0,Yes,3.0,0.0,Yes,5.0,3.564726631393298,Introvert
2226,10.0,No,3.0,0.0,Yes,4.0,0.0,Introvert
2227,9.0,Yes,2.0,1.0,Yes,2.0,0.0,Introvert
2230,7.0,Yes,3.0,2.0,No,4.0,0.0,Introvert
2231,10.0,Yes,2.0,2.0,Yes,4.0,2.0,Introvert
2232,10.0,Yes,0.0,0.0,Yes,4.0,1.0,Introvert
2237,8.0,Yes,3.963354474982382,2.0,Yes,3.0,2.0,Introvert
2240,11.0,Yes,3.0,1.0,Yes,5.0,2.0,Introvert
2243,11.0,Yes,2.0,0.0,Yes,4.0,1.0,Extrovert
2244,7.0,Yes,0.0,3.0,Yes,2.0,1.0,Introvert
2246,11.0,Yes,1.0,2.0,Yes,3.0,0.0,Introvert
2247,9.0,Yes,2.0,0.0,Yes,1.0,0.0,Extrovert
2250,7.0,Yes,0.0,0.0,Yes,2.0,1.0,Introvert
2252,9.0,Yes,1.0,2.0,No,5.0,1.0,Introvert
2255,11.0,Yes,1.0,0.0,No,2.0,0.0,Introvert
2256,7.0,Yes,1.0,0.0,Yes,2.0,0.0,Introvert
2261,7.0,Yes,0.0,2.0,Yes,5.0,1.0,Introvert
2264,11.0,Yes,1.0,0.0,Yes,4.0,1.0,Introvert
2266,11.0,Yes,0.0,0.0,Yes,4.0,1.0,Introvert
2267,9.0,Yes,2.0,2.0,Yes,5.0,2.0,Introvert
2270,9.0,Yes,1.0,0.0,Yes,5.0,2.0,Introvert
2271,9.0,Yes,3.963354474982382,2.0,Yes,6.268862911795962,0.0,Introvert
2273,8.0,Yes,2.0,2.0,Yes,6.268862911795962,1.0,Introvert
2274,10.0,Yes,2.0,0.0,Yes,5.0,2.0,Introvert
2276,10.0,Yes,2.0,0.0,Yes,2.0,1.0,Extrovert
2278,8.0,Yes,0.0,2.0,Yes,1.0,2.0,Introvert
2280,10.0,Yes,3.963354474982382,2.0,Yes,5.0,1.0,Introvert
2282,10.0,Yes,3.963354474982382,0.0,Yes,1.0,0.0,Introvert
2287,9.0,Yes,2.0,0.0,Yes,3.0,0.0,Introvert
2288,8.0,Yes,3.0,0.0,Yes,4.0,2.0,Introvert
2289,8.0,Yes,0.0,1.0,Yes,3.0,2.0,Introvert
2290,10.0,Yes,0.0,0.0,Yes,3.0,1.0,Extrovert
2298,11.0,Yes,3.0,2.0,Yes,4.0,1.0,Introvert
2299,10.0,Yes,3.0,2.0,No,3.0,2.0,Introvert
2300,8.0,Yes,3.0,0.0,Yes,4.0,1.0,Introvert
2301,9.0,Yes,1.0,2.0,Yes,3.0,0.0,Introvert
2304,7.0,Yes,3.963354474982382,2.0,Yes,1.0,2.0,Introvert
2308,9.0,Yes,0.0,2.0,Yes,1.0,1.0,Introvert
2309,9.0,Yes,2.0,1.0,Yes,4.0,0.0,Introvert
2311,8.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
2313,7.0,Yes,1.0,1.0,Yes,1.0,1.0,Introvert
2316,11.0,Yes,0.0,1.0,Yes,3.0,0.0,Introvert
2319,7.0,Yes,0.0,2.0,Yes,2.0,0.0,Introvert
2322,9.0,Yes,2.0,2.0,Yes,1.0,2.0,Extrovert
2333,10.0,Yes,0.0,0.0,Yes,1.0,0.0,Extrovert
2335,8.0,Yes,0.0,3.0,Yes,5.0,2.0,Introvert
2338,7.0,Yes,1.0,0.0,Yes,2.0,0.0,Introvert
2340,7.0,Yes,2.0,1.0,Yes,4.0,0.0,Introvert
2344,9.0,Yes,2.0,2.0,Yes,1.0,0.0,Introvert
2346,8.0,Yes,1.0,0.0,Yes,3.0,1.0,Introvert
2348,10.0,Yes,2.0,0.0,Yes,2.0,0.0,Extrovert
2352,8.0,Yes,2.0,0.0,Yes,5.0,2.0,Introvert
2354,10.0,Yes,2.0,2.0,Yes,2.0,0.0,Introvert
2355,9.0,Yes,3.0,0.0,Yes,5.0,0.0,Introvert
2358,9.0,Yes,3.0,1.0,Yes,1.0,0.0,Introvert
2362,10.0,Yes,0.0,2.0,Yes,3.0,2.0,Introvert
2365,11.0,Yes,3.0,2.0,Yes,5.0,0.0,Introvert
2370,9.0,Yes,1.0,2.0,Yes,1.0,2.0,Extrovert
2375,9.0,Yes,0.0,0.0,No,2.0,2.0,Introvert
2377,9.0,Yes,2.0,1.0,Yes,4.0,2.0,Introvert
2382,10.0,Yes,2.0,0.0,Yes,5.0,0.0,Introvert
2383,10.0,Yes,2.0,2.0,Yes,5.0,1.0,Introvert
2388,8.0,Yes,0.0,2.0,Yes,4.0,0.0,Introvert
2389,9.0,Yes,2.0,2.0,Yes,3.0,0.0,Extrovert
2395,7.0,Yes,0.0,0.0,No,3.0,1.0,Introvert
2397,9.0,Yes,2.0,1.0,Yes,1.0,1.0,Introvert
2399,11.0,Yes,1.0,3.0,Yes,1.0,0.0,Introvert
2408,10.0,Yes,0.0,2.0,Yes,2.0,2.0,Introvert
2410,8.0,Yes,1.0,0.0,Yes,1.0,2.0,Introvert
2415,9.0,Yes,1.0,2.0,Yes,1.0,2.0,Extrovert
2416,10.0,Yes,2.0,2.0,Yes,5.0,2.0,Introvert
2419,7.0,Yes,2.0,0.0,Yes,5.0,1.0,Introvert
2428,11.0,Yes,2.0,1.0,Yes,3.0,1.0,Introvert
2430,10.0,Yes,3.963354474982382,0.0,Yes,6.268862911795962,3.564726631393298,Introvert
2436,11.0,Yes,0.0,1.0,Yes,3.0,2.0,Introvert
2438,8.0,Yes,0.0,0.0,Yes,4.0,2.0,Introvert
2442,8.0,Yes,0.0,1.0,Yes,4.0,0.0,Introvert
